,train_loss,train_rmse,train_mape,train_wmape,valid_loss,valid_rmse,valid_mape,valid_wmape
115,0.55984858,0.8681985,0.00888027,0.0079932,0.63608736,0.88974217,0.01112744,0.01047261
116,0.55848262,0.85995167,0.00878298,0.00792337,0.62425113,0.86866146,0.01112742,0.01047119
117,0.5565792,0.85956389,0.00875692,0.00790245,0.62468278,0.87367198,0.01106475,0.0104094
118,0.55490386,0.85677779,0.00875527,0.00789315,0.6265735,0.87346923,0.01111629,0.01045971
119,0.55644971,0.86256529,0.00878434,0.00791087,0.62803781,0.87380761,0.01109542,0.01044815
120,0.55461714,0.85514261,0.00875422,0.00790005,0.61854649,0.86310828,0.01102332,0.01038235
121,0.55117139,0.85007879,0.00871483,0.00786263,0.62848091,0.86847457,0.01109235,0.01044503
122,0.55410922,0.85583746,0.00875638,0.0078961,0.62409818,0.87504983,0.01099637,0.01035793
123,0.55146083,0.84974951,0.00868375,0.0078444,0.62026548,0.86074719,0.01103334,0.01040415
124,0.55144402,0.84860606,0.00869258,0.00785365,0.62852418,0.87117603,0.01104151,0.01041308
125,0.5504446,0.84861746,0.00870058,0.00785447,0.61604726,0.85980743,0.01101224,0.01036902
126,0.54971305,0.84947465,0.00869336,0.00784109,0.62183642,0.86902687,0.0109423,0.0103083
127,0.54943985,0.84507051,0.00865154,0.00781666,0.61890858,0.86032814,0.01096936,0.01034097
128,0.54777345,0.84312716,0.00862312,0.00780029,0.61704361,0.86001185,0.01097537,0.01035464
129,0.54870141,0.84410635,0.00867471,0.00783446,0.62045288,0.85865173,0.01100667,0.01037863
130,0.54745519,0.84509239,0.00861883,0.00778381,0.61364877,0.85749352,0.01090383,0.01028285
131,0.54687646,0.84061502,0.00861881,0.0077843,0.61736667,0.85850105,0.01092081,0.01030117
132,0.54606828,0.84262371,0.00862264,0.0077878,0.61812425,0.85985327,0.0109523,0.01033292
133,0.54737166,0.84191029,0.00859325,0.00776665,0.61561215,0.85351536,0.01093995,0.0103232
134,0.54616198,0.84149641,0.00858841,0.00776153,0.62422764,0.8678422,0.01086942,0.01026477
135,0.54266033,0.83091614,0.00849157,0.00769261,0.60720825,0.8436735,0.01086737,0.01025314
136,0.54446512,0.83672222,0.00851703,0.00770518,0.62116581,0.86252758,0.01085562,0.01025379
137,0.54351026,0.83256929,0.0085065,0.00770756,0.60498083,0.83759722,0.01080874,0.01020571
138,0.54220486,0.83332165,0.00849419,0.00769225,0.61990422,0.86486572,0.01087429,0.01027002
139,0.54592431,0.83692242,0.00855081,0.00773898,0.60529411,0.84084931,0.0107451,0.01014088
140,0.54351944,0.83501942,0.00850618,0.00770333,0.62214041,0.86215737,0.01084087,0.01025281
141,0.54024601,0.82331476,0.00844751,0.00766502,0.60332614,0.83709601,0.01085133,0.01025255
142,0.54024893,0.83010934,0.00845732,0.00765968,0.61630356,0.85472584,0.01083106,0.01023113
143,0.54065758,0.82998088,0.00848456,0.00768213,0.61434227,0.85115635,0.01081316,0.01021899
144,0.53937671,0.82864243,0.00845037,0.0076526,0.60446167,0.83951157,0.01077598,0.01018134
145,0.5398159,0.82518096,0.00842533,0.00764279,0.61990958,0.86574277,0.01074769,0.0101561
146,0.53974023,0.82424241,0.00840783,0.00762415,0.60506272,0.83989647,0.01077044,0.01017241
147,0.54044551,0.83081935,0.00846345,0.00766181,0.61545515,0.85343257,0.01076872,0.01018801
148,0.53881064,0.82483311,0.00842916,0.00764397,0.60110378,0.83222333,0.01073052,0.01014904
149,0.53916642,0.82708177,0.00842958,0.00764218,0.61542243,0.85716867,0.01071413,0.01013105
150,0.53787726,0.82250415,0.00839216,0.00761474,0.60306871,0.83398658,0.01072272,0.01013492
151,0.53845453,0.82449956,0.00837488,0.00759861,0.61435544,0.85247725,0.01070518,0.01013467
152,0.5383803,0.82228383,0.00840878,0.0076332,0.60013878,0.83069512,0.01072084,0.01013718
153,0.53832868,0.82559024,0.00837237,0.00759753,0.61944318,0.86318809,0.01072818,0.0101544
154,0.53855193,0.82403122,0.00837944,0.00760364,0.60346556,0.83720526,0.01072763,0.01014385
155,0.53627408,0.82193403,0.00836918,0.00759466,0.61038363,0.84682596,0.01066554,0.01009293
156,0.53606811,0.81929204,0.00837675,0.00759748,0.61271501,0.84701055,0.01077505,0.01019217
157,0.53602296,0.82221515,0.00835951,0.00757986,0.59976661,0.83586562,0.01066558,0.01009099
158,0.53703099,0.81915468,0.0083482,0.00758367,0.6109184,0.8434861,0.01063253,0.01006158
159,0.53836861,0.82616264,0.00836228,0.00758741,0.60790765,0.84771904,0.01068192,0.01011222
160,0.5387674,0.82175665,0.00831284,0.00755285,0.60245359,0.83479106,0.0106181,0.0100509
161,0.53493074,0.81757566,0.00832759,0.00756723,0.61034721,0.84275138,0.0105982,0.01004039
162,0.53350949,0.81554908,0.00831747,0.00755407,0.60402173,0.84230646,0.01072441,0.01015119
163,0.53694868,0.82198104,0.00837016,0.00758795,0.6055932,0.83941254,0.01058006,0.01000611
164,0.53504404,0.81725302,0.00830267,0.00754369,0.60211581,0.83586591,0.01058032,0.01002165
165,0.53571752,0.81504951,0.00828681,0.00753836,0.60473639,0.83961019,0.01069754,0.01013759
166,0.53404185,0.81702466,0.00829984,0.0075405,0.60375714,0.83604601,0.01052301,0.0099566
167,0.53327382,0.81471159,0.00828883,0.0075334,0.59591442,0.82724851,0.01052886,0.00996971
168,0.53184026,0.81216414,0.00826882,0.007518,0.60424745,0.84068826,0.01063216,0.01007557
169,0.52960134,0.80590077,0.00821034,0.00746938,0.60203224,0.83126262,0.01063718,0.01007389
170,0.5307098,0.81127357,0.00824839,0.00749239,0.60169768,0.83710858,0.01058839,0.01002966
171,0.53392363,0.81529246,0.00827528,0.00751933,0.60061169,0.8279601,0.01058498,0.01002965
172,0.53291538,0.81541096,0.00825394,0.00750471,0.60917348,0.84927866,0.01052983,0.00998917
173,0.53659278,0.81146562,0.0082581,0.00753012,0.59138948,0.81872591,0.01060361,0.01004119
174,0.53462318,0.81875111,0.00822955,0.00748368,0.6272198,0.87114093,0.01069111,0.01013484
175,0.53586513,0.81576116,0.0082604,0.00750961,0.58833766,0.81219128,0.01058362,0.01001698
176,0.54446116,0.83260444,0.00830846,0.00755422,0.62418568,0.86432502,0.0104743,0.00993801
177,0.54130998,0.81811564,0.00824693,0.00752383,0.59996295,0.83081627,0.01064316,0.01008389
178,0.53709692,0.82278557,0.00830703,0.00754122,0.59629148,0.82648322,0.01063644,0.01006609
179,0.53325644,0.81313114,0.00821746,0.00747243,0.61996663,0.85961351,0.01048782,0.00994895
180,0.53205621,0.80660219,0.00827178,0.00752143,0.58712292,0.81045881,0.01055474,0.00999967
181,0.53539991,0.81956299,0.00825177,0.00749971,0.61438549,0.85750034,0.01058699,0.01004022
182,0.53541106,0.81306982,0.00822987,0.00749311,0.59868956,0.83210254,0.01043797,0.00988621
183,0.52946082,0.80860525,0.00820285,0.00746193,0.59119475,0.81874222,0.0104966,0.00994569
184,0.53035983,0.80890161,0.00820149,0.00746074,0.61323798,0.85511428,0.01056672,0.01002821
185,0.53019083,0.80590577,0.00820991,0.00747225,0.59752488,0.82490176,0.0104806,0.00993377
186,0.53236005,0.8140801,0.00820905,0.00746858,0.5955146,0.82960698,0.01045354,0.00991357
187,0.53070992,0.80641384,0.00817902,0.00744768,0.60639799,0.83835965,0.0104898,0.00995394
188,0.52959052,0.81063208,0.00816785,0.00743434,0.5869025,0.81240639,0.01046293,0.00991916
189,0.52725154,0.80470937,0.00817275,0.0074331,0.60466784,0.84302062,0.01047784,0.00994439
190,0.52686247,0.80076136,0.00812968,0.0074074,0.59841859,0.82489419,0.01044886,0.00990955
191,0.52660999,0.8052274,0.00814088,0.00741163,0.59311223,0.82482475,0.01047111,0.00993208
192,0.52699497,0.8033049,0.00813777,0.00741255,0.59913653,0.83445314,0.01043113,0.00989978
193,0.5259591,0.80219457,0.00811711,0.00739574,0.5929051,0.81865832,0.01044925,0.0099123
194,0.52430511,0.79906611,0.00810454,0.00738451,0.59630859,0.83049324,0.01045889,0.00992543
195,0.52548608,0.80040789,0.00810717,0.00738939,0.5946784,0.82518694,0.01037658,0.00984427
196,0.52723396,0.80578373,0.00814681,0.00741488,0.59199071,0.8211666,0.0104311,0.0098951
197,0.52447438,0.79704358,0.00810466,0.00738364,0.59933078,0.83320057,0.01037172,0.00984341
198,0.52384916,0.79755729,0.00809017,0.00737384,0.58824217,0.81524643,0.01029189,0.0097637
199,0.52525303,0.80127417,0.00814233,0.00741379,0.59720206,0.83133137,0.01047641,0.0099465
200,0.52745038,0.8018688,0.00811853,0.00739931,0.59329337,0.82414326,0.01036793,0.00984033
201,0.52869031,0.80401808,0.0081309,0.00740901,0.58899415,0.81449711,0.01034837,0.00981851
202,0.52296615,0.80015087,0.00808044,0.00735444,0.60255754,0.83305997,0.01045198,0.00992797
203,0.523929,0.79605614,0.00807622,0.0073565,0.5834111,0.80891383,0.01033265,0.00980965
204,0.52410123,0.7983181,0.008072,0.0073529,0.60109454,0.83122045,0.01033621,0.00980902
205,0.52643362,0.80429855,0.00813123,0.00740315,0.59066755,0.82109737,0.01037959,0.00984885
206,0.52390411,0.79726006,0.0080629,0.00735313,0.59253204,0.81939077,0.01034252,0.00981803
207,0.52190214,0.79507039,0.00805843,0.00734412,0.58848548,0.81745192,0.01031916,0.00979155
208,0.52386975,0.79817069,0.00811607,0.0073849,0.58517516,0.81186238,0.01037124,0.00983635
209,0.51984578,0.79424597,0.00805576,0.00733276,0.60297257,0.83333421,0.01031119,0.00979681
210,0.5216122,0.79278608,0.00803188,0.00732811,0.58383846,0.80937052,0.01029194,0.00977488
211,0.52406541,0.7994975,0.00811708,0.00738632,0.59124041,0.82002839,0.01037426,0.0098463
212,0.52156931,0.79722342,0.00802829,0.00730879,0.59531093,0.82803124,0.01029036,0.00977837
213,0.52003127,0.78950921,0.00801934,0.00732172,0.5904094,0.8140378,0.01032384,0.00981176
214,0.5221993,0.79667369,0.00802726,0.0073189,0.59188414,0.82413006,0.01036502,0.0098381
215,0.51937664,0.79311235,0.00802763,0.00731371,0.58561027,0.81142575,0.01021577,0.00969759
216,0.52183884,0.79499704,0.0080342,0.00732166,0.58765984,0.81663272,0.01025082,0.00974007
217,0.5203197,0.78913611,0.00798883,0.00729476,0.58757842,0.81491911,0.01029451,0.00978123
218,0.51826486,0.79117791,0.00800041,0.00729051,0.59127641,0.81907925,0.01028738,0.00976404
219,0.51835552,0.79282223,0.00801914,0.00729695,0.58218277,0.80849966,0.01024581,0.00973032
220,0.51807028,0.78812811,0.00799714,0.0072943,0.58606088,0.81426126,0.01019163,0.0096851
221,0.51915416,0.78820868,0.00797865,0.0072854,0.59382379,0.8233898,0.01027435,0.00975708
222,0.51669115,0.79031196,0.00798365,0.00727346,0.5809418,0.8059926,0.01031527,0.00979521
223,0.51879096,0.78761996,0.00798246,0.00728514,0.58703738,0.81231719,0.01019511,0.0096888
224,0.51826081,0.78766927,0.00799007,0.00729553,0.59120768,0.82035404,0.01033193,0.00981967
225,0.51871157,0.79094097,0.00800188,0.00729351,0.58899379,0.81398809,0.0103139,0.00980001
226,0.51742628,0.78862301,0.00799458,0.00728304,0.5810349,0.80767787,0.01006193,0.00955694
227,0.51636145,0.78391498,0.00795211,0.00726224,0.58458304,0.80965403,0.0102453,0.00973815
228,0.51881382,0.7924418,0.00800177,0.00728882,0.58813858,0.81722176,0.01030284,0.00978534
229,0.51766902,0.7866001,0.00795595,0.00725502,0.5921731,0.81957367,0.01019809,0.00968462
230,0.51675135,0.78936198,0.00794569,0.0072445,0.57678592,0.80199915,0.01017881,0.00967157
